key,author,categoryid,order,imgname,pageurl,title
1,Hosting Review,1,11,i0111,http://www.hostingreviewbox.com/wp-content/uploads/2016/02/html5-cheat-sheet.pdf,Cheat Sheet HTML 5
2,HTML Doctor,1,2,i0102,http://html5doctor.com/element-index/,Element Index
3,Quackit,1,3,i0103,http://www.quackit.com/html_5/tags/,HTML 5 Tags
4,Mozilla,1,7,i0107,https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes,HTML Attribute Reference
5,Mozilla,1,6,i0106,https://developer.mozilla.org/en-US/docs/Web/HTML/Element,HTML Reference
6,HTML Dog,1,1,i0101,http://htmldog.com/references/html/tags/,HTML Tags
7,Website Setup,1,10,i0110,http://websitesetup.org/html5-cheat-sheet/,HTML5 Cheat Sheet
8,Tutorials Point,1,4,i0104,http://www.tutorialspoint.com/html5/html5_tags.htm,HTML5 Tags Reference
9,Tutorial Republic,1,8,i0108,http://www.tutorialrepublic.com/html-reference/html5-tags.php,HTML5 Tags/Elements
10,Pakzilla,1,9,i0109,http://www.pakzilla.com/2011/02/27/an-ultimate-html5-cheatsheet-you-must-have/,Ultimate Must-Have Cheat Sheet
11,W3Schools,1,5,i0105,http://www.w3schools.com/TAGS/default.asp,W3Schools Tag Reference
12,Sabinanore,2,2,i0202,http://www.sabinanore.com/design/html-special-symbols/,HTML Character Entity Reference
13,Quackit,2,4,i0204,http://www.quackit.com/html/html_special_characters.cfm,HTML Special Character Reference
14,Digital Media Minute,2,1,i0201,http://www.digitalmediaminute.com/reference/entity/index.php,HTML Special Characters
15,Neal Chester,2,3,i0203,http://nealchester.com/special-characters/,HTML Special Symbols
16,Tutorials Point,2,5,i0205,http://www.tutorialspoint.com/html5/html5_entities.htm,Special Characters for HTML
17,HTML Dob,3,1,i0301,http://htmldog.com/reference/cssproperties/,CSS Properties
18,Meiert Web,3,5,i0305,http://meiert.com/en/indices/css-properties/,CSS Properties Index
19,Leslie Franke,3,9,i0309,http://lesliefranke.com/files/reference/csscheatsheet.html,CSS Reference
20,W3 Schools,3,3,i0303,http://www.w3schools.com/cssref/default.asp,CSS Reference
21,Mozilla,3,8,i0308,https://developer.mozilla.org/en-US/docs/Web/CSS/Reference,CSS3 Cheat Sheet
22,GoSquared,3,4,i0304,http://downloads.gosquared.com/help_sheets/10/CSS3 Help Sheet outlined.pdf,CSS3 Help Sheet
23,Quackit,3,2,i0302,http://www.quackit.com/css/properties,Index of CSS properties
24,Tutorial Republic,3,7,i0307,http://www.tutorialrepublic.com/css-reference/css3-properties.php,List of CSS3 Properties
25,Max Design,3,10,i0310,http://css.maxdesign.com.au/selectutorial/,Selectutorial
26,Make a Website,3,6,i0306,http://makeawebsitehub.com/css3-mega-cheat-sheet/,The Mega CSS3 Cheat Sheet
27,Adobe,4,1,i0401,https://color.adobe.com/create/color-wheel/,Adobe Color CC
28,Label Partners,4,10,i0410,http://us.labelpartners.com/pantone_coated_table.html,All Pantone C Colors
29,Rapid Tables,4,11,i0411,http://www.rapidtables.com/convert/color/,Color Converter
30,Jay Prall,4,13,i0413,http://colorcop.net/,Color Cop
31,Loomatix,4,12,i0412,https://play.google.com/store/apps/details?id=com.loomatix.colorgrab,Color Grab
32,Daily Infographic,4,15,i0415,http://www.dailyinfographic.com/color-psychology-in-logo-design,Color Psychology
33,Robert Plutchik,4,3,i0403,http://info.shiftelearning.com/blog/using-plutchiks-emotion-wheel-elearning,Color Wheel of Emotions
34,Rapid Tables,4,6,i0406,http://www.rapidtables.com/web/color/color-wheel.htm,Color Wheel Tool
35,CSS Drive,4,2,i0402,http://www.cssdrive.com/imagepalette/index.php,Colors from Pictures
36,Various Artists,4,9,i0409,https://creativemarket.com/blog/10-brilliant-color-psychology-infographics,Creative Market
37,ImageColorPicker,4,7,i0407,http://imagecolorpicker.com/,Image Color Picker
38,Alan Simpson,4,4,i0404,https://www.pinterest.com/explore/color-palettes/,My Own Collection
39,Paletton,4,5,i0405,http://paletton.com/,Patetton.com
40,Imgur,4,14,i0414,http://imgur.com/gallery/cBBcTyd,Psychology of Color
41,Coolors,4,16,i0416,https://www.coolors.co/,Scheme Generator
42,Colour Lovers,4,18,i0418,http://www.colourlovers.com/,Share your Colors
43,Apple,4,8,i0408,https://sipofcolor.com/,Sip of Color
44,Colors on the Web,4,17,i0417,http://www.colorsontheweb.com/colorwheel.asp,Spin the Color Wheel
45,,5,1,i0501,http://www.1millionfreepictures.com/,1 million free pictures
46,,5,2,i0502,http://web.archive.org/web/20140619023133/http://1photos.com/,1Photos.com
47,,5,3,i0503,https://www.flickr.com/photos/library_of_congress/,"26,000+ Historic Photos"
48,,5,4,i0504,http://www.public-domain-photos.com/,5000 Free Stock Photos
49,,5,53,i0553,http://photolibrary.usap.gov/,Antarctica Photo Library
50,,5,58,i0558,http://www.archives.gov/research/alic/reference/photography.html,Archives.gov
51,,5,5,i0505,http://duion.com/art/main,Art section
52,,5,70,i0570,https://avopix.com/,Avo Pix
53,,5,71,i0571,https://www.flickr.com/photos/britishlibrary/albums,British Library
54,,5,72,i0572,http://www.burningwell.org/,Burning Well
55,,5,68,i0568,http://cc0.photo/,CC0 Photo
56,,5,65,i0565,http://www.census.gov/library/photos.html,Census Bureau Photos
57,,5,15,i0515,http://crazy-frankenstein.com/,Crazy Frankenstein
58,,5,47,i0547,http://pdi.davalign.com/,Davalign
59,,5,8,i0508,http://deathtothestockphoto.com/,Death to the Stock Photo
60,,5,26,i0526,http://www.drstockphoto.com/,Dr. Stock Photo
61,,5,69,i0569,http://dreamypixel.com/gallery-of-free-photograhs-images/,Dreamy Pixel
62,,5,34,i0534,https://www.flickr.com/photos/alansimpsonme/33859960320/in/album-72157682908182376/,Education Theme Photos
63,,5,77,i0577,https://www.flickr.com/photos/alansimpsonme/albums/72157681034644390,Emotion / Character Photos
64,,5,64,i0564,http://www.everystockphoto.com/,Everystockphoto
65,,5,50,i0550,https://www.flickr.com/photos/alansimpsonme/albums/72157682755082126,Food and Drink Photos
66,,5,99,i0599,https://foodiesfeed.com/,Foodies Feed
67,,5,80,i0580,http://www.freeforcommercialuse.net/,Free for Commercial Use
68,,5,74,i0574,http://en.freejpg.com.ar/,Free Images
69,,5,7,i0507,http://www.4freephotos.com/,Free Stock photos
70,,5,9,i0509,http://www.alegriphotos.com/,Free Stock Photos
71,,5,37,i0537,http://www.freestockphotos.biz/,Free Stock Photos
72,,5,30,i0530,http://viintage.com/,Free Vintage Images
73,,5,86,i0586,http://freestocks.org/,Freestocks
74,,5,89,i0589,https://www.flickr.com/photos/alansimpsonme/34971942641/in/album-72157681733133242/,Future Tech Theme
